seq_len,batch_size,gen_tokens,prefill_ms_p50,prefill_ms_per_token_p50,prefill_tok_per_s_p50,decode_total_ms_p50,decode_ms_per_tok_p50,decode_tok_per_s_p50,total_tok_s,vram_reserved_mb,vram_allocated_mb,collapse_flag
128,1,32,35.585,0.278011,3596.981,881.792,27.556009,36.290,174.410,5974.0,5937.2,
128,2,32,48.633,0.189971,5263.948,932.441,29.138778,68.637,326.173,6054.0,5979.3,
128,4,32,85.680,0.167344,5975.724,953.174,29.786691,134.288,616.063,6216.0,6063.5,
128,8,32,179.055,0.174859,5718.904,958.050,29.939050,267.210,1125.666,6538.0,6231.8,
128,16,32,364.666,0.178060,5616.093,1030.062,32.189441,497.057,1835.483,7154.0,6569.5,
128,32,32,751.383,0.183443,5451.283,1343.655,41.989206,762.101,2443.870,8342.0,7243.5,
128,64,32,1540.672,0.188070,5317.159,2067.992,64.624738,990.333,2837.615,10716.0,8589.5,
